"id","description","last_updated"
"169846","Restaurant, family style, fish fillet, battered or breaded, fried","2019-04-01"
"169847","Restaurant, family style, chicken tenders","2019-04-01"
"169848","Restaurant, family style, hash browns","2019-04-01"
"169849","CRACKER BARREL, macaroni n' cheese","2019-04-01"
"169850","Restaurant, Italian, lasagna with meat","2019-04-01"
"169851","OLIVE GARDEN, lasagna classico","2019-04-01"
"169852","OLIVE GARDEN, spaghetti with pomodoro sauce","2019-04-01"
"169853","CARRABBA'S ITALIAN GRILL, spaghetti with pomodoro sauce","2019-04-01"
"169854","ON THE BORDER, cheese enchilada","2019-04-01"
"169855","Restaurant, Mexican, cheese enchilada","2019-04-01"
"169856","Restaurant, Mexican, cheese tamales","2019-04-01"
"169857","CARRABBA'S ITALIAN GRILL, chicken parmesan without cavatappi pasta","2019-04-01"
"169858","OLIVE GARDEN, chicken parmigiana without pasta","2019-04-01"
"169859","Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with almonds","2019-04-01"
"169860","Margarine-like, vegetable oil spread, stick or tub, sweetened","2019-04-01"
"169861","Snacks, popcorn, home-prepared, oil-popped, unsalted","2019-04-01"
"169862","Cereals ready-to-eat, POST, GREAT GRAINS Crunchy Pecan Cereal","2019-04-01"
"169863","Snacks, granola bar, with coconut, chocolate coated","2019-04-01"
"169864","Babyfood, vegetable and brown rice, strained","2019-04-01"
"169865","Babyfood, peas and brown rice","2019-04-01"
"169866","Frankfurter, meat and poultry, low fat","2019-04-01"
"169867","Oil, corn and canola","2019-04-01"
"169868","Milk, fluid, nonfat, calcium fortified (fat free or skim)","2019-04-01"
"169869","Peanut butter, reduced sodium","2019-04-01"
"169870","Cereals ready-to-eat, POST GREAT GRAINS Banana Nut Crunch","2019-04-01"
"169871","Babyfood, carrots, toddler","2019-04-01"
"169872","Babyfood, dessert, banana pudding, strained","2019-04-01"
"169873","Babyfood, fruit, tutti frutti, strained","2019-04-01"
"169874","Babyfood, fruit, tutti frutti, junior","2019-04-01"
"169875","Salad dressing, sweet and sour","2019-04-01"
"169876","Salad dressing, blue or roquefort cheese, low calorie","2019-04-01"
"169877","Salad dressing, caesar, low calorie","2019-04-01"
"169878","Syrups, sugar free","2019-04-01"
"169879","Jellies, no sugar (with sodium saccharin), any flavors","2019-04-01"
"169880","Candies, hard, dietetic or low calorie (sorbitol)","2019-04-01"
"169881","Candies, chocolate covered, low sugar or low calorie","2019-04-01"
"169882","Chewing gum, sugarless","2019-04-01"
"169883","Fluid replacement, electrolyte solution (include PEDIALYTE)","2019-04-01"
"169884","Vermicelli, made from soy","2019-04-01"
"169885","Beans, liquid from stewed kidney beans","2019-04-01"
"169886","Chicken, meatless","2019-04-01"
"169887","Frankfurter, meatless","2019-04-01"
"169888","Vegetarian meatloaf or patties","2019-04-01"
"169889","Radishes, hawaiian style, pickled","2019-04-01"
"169890","Cabbage, japanese style, fresh, pickled","2019-04-01"
"169891","Cabbage, mustard, salted","2019-04-01"
"169892","Eggplant, pickled","2019-04-01"
"169893","Bacon bits, meatless","2019-04-01"
"169894","Butter replacement, without fat, powder","2019-04-01"
"169895","Salad dressing, buttermilk, lite","2019-04-01"
"169896","Sweeteners, tabletop, fructose, dry, powder","2019-04-01"
"169897","Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted","2019-04-01"
"169898","Yogurt, fruit variety, nonfat","2019-04-01"
"169899","Whipped cream substitute, dietetic, made from powdered mix","2019-04-01"
"169900","Frozen novelties, ice cream type, sundae, prepackaged","2019-04-01"
"169901","Cheese, american cheddar, imitation","2019-04-01"
"169902","Quail, cooked, total edible","2019-04-01"
"169903","Pheasant, cooked, total edible","2019-04-01"
"169904","Eggs, scrambled, frozen mixture","2019-04-01"
"169905","Dove, cooked (includes squab)","2019-04-01"
"169906","Pork, cured, ham, boneless, low sodium, extra lean and regular, roasted","2019-04-01"
"169907","Longans, dried","2019-04-01"
"169908","Loquats, raw","2019-04-01"
"169909","Mammy-apple, (mamey), raw","2019-04-01"
"169910","Mangos, raw","2019-04-01"
"169911","Melons, honeydew, raw","2019-04-01"
"169912","Melon balls, frozen","2019-04-01"
"169913","Mulberries, raw","2019-04-01"
"169914","Nectarines, raw","2019-04-01"
"169915","Oheloberries, raw","2019-04-01"
"169916","Oranges, raw, California, valencias","2019-04-01"
"169917","Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"169918","Oranges, raw, Florida","2019-04-01"
"169919","Oranges, raw, with peel","2019-04-01"
"169920","Orange juice, chilled, includes from concentrate, with added calcium","2019-04-01"
"169921","Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added calcium","2019-04-01"
"169922","Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium","2019-04-01"
"169923","Orange juice, frozen concentrate, unsweetened, undiluted","2019-04-01"
"169924","Tangerines, (mandarin oranges), canned, light syrup pack","2019-04-01"
"169925","Tangerine juice, raw","2019-04-01"
"169926","Papayas, raw","2019-04-01"
"169927","Papaya, canned, heavy syrup, drained","2019-04-01"
"169928","Peaches, yellow, raw","2019-04-01"
"169929","Peaches, canned, water pack, solids and liquids","2019-04-01"
"169930","Peaches, canned, juice pack, solids and liquids","2019-04-01"
"169931","Peaches, canned, extra light syrup, solids and liquids (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"169932","Peaches, dehydrated (low-moisture), sulfured, uncooked","2019-04-01"
"169933","Peaches, dehydrated (low-moisture), sulfured, stewed","2019-04-01"
"169934","Peaches, dried, sulfured, uncooked","2019-04-01"
"169935","Peaches, dried, sulfured, stewed, without added sugar","2019-04-01"
"169936","Pears, canned, juice pack, solids and liquids","2019-04-01"
"169937","Pears, canned, extra light syrup pack, solids and liquids (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"169938","Pears, canned, light syrup pack, solids and liquids","2019-04-01"
"169939","Pears, canned, heavy syrup pack, solids and liquids","2019-04-01"
"169940","Pear nectar, canned, without added ascorbic acid","2019-04-01"
"169941","Persimmons, japanese, raw","2019-04-01"
"169942","Persimmons, japanese, dried","2019-04-01"
"169943","Persimmons, native, raw","2019-04-01"
"169944","Pineapple, canned, heavy syrup pack, solids and liquids","2019-04-01"
"169945","Pineapple, canned, extra heavy syrup pack, solids and liquids","2019-04-01"
"169946","Pineapple, frozen, chunks, sweetened","2019-04-01"
"169947","Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid","2019-04-01"
"169948","Pineapple juice, frozen concentrate, unsweetened, undiluted","2019-04-01"
"169949","Plums, raw","2019-04-01"
"169950","Plums, canned, purple, water pack, solids and liquids","2019-04-01"
"169951","Plums, canned, purple, juice pack, solids and liquids","2019-04-01"
"169952","Plums, canned, purple, light syrup pack, solids and liquids","2019-04-01"
"169953","Lima beans, immature seeds, frozen, fordhook, unprepared","2019-04-01"
"169954","Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt","2019-04-01"
"169955","Lima beans, immature seeds, frozen, baby, unprepared","2019-04-01"
"169956","Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, without salt","2019-04-01"
"169957","Mung beans, mature seeds, sprouted, raw","2019-04-01"
"169958","Beans, pinto, immature seeds, frozen, unprepared","2019-04-01"
"169959","Beans, pinto, immature seeds, frozen, cooked, boiled, drained, without salt","2019-04-01"
"169960","Beans, shellie, canned, solids and liquids","2019-04-01"
"169961","Beans, snap, green, raw","2019-04-01"
"169962","Beans, snap, green, frozen, all styles, unprepared (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"169963","Beans, snap, green, frozen, cooked, boiled, drained without salt","2019-04-01"
"169964","Beans, snap, green, frozen, all styles, microwaved","2019-04-01"
"169965","Beans, snap, green, microwaved","2019-04-01"
"169966","Beets, canned, drained solids","2019-04-01"
"169967","Broccoli, cooked, boiled, drained, without salt","2019-04-01"
"169968","Broccoli, frozen, chopped, unprepared","2019-04-01"
"169969","Broccoli, frozen, chopped, cooked, boiled, drained, without salt","2019-04-01"
"169970","Broccoli, frozen, spears, unprepared (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"169971","Brussels sprouts, cooked, boiled, drained, without salt","2019-04-01"
"169972","Brussels sprouts, frozen, unprepared","2019-04-01"
"169973","Brussels sprouts, frozen, cooked, boiled, drained, without salt","2019-04-01"
"169974","Burdock root, raw","2019-04-01"
"169975","Cabbage, raw","2019-04-01"
"169976","Cabbage, cooked, boiled, drained, without salt","2019-04-01"
"169977","Cabbage, red, raw","2019-04-01"
"169978","Cabbage, red, cooked, boiled, drained, without salt","2019-04-01"
"169979","Cabbage, chinese (pe-tsai), raw","2019-04-01"
"169980","Cabbage, chinese (pe-tsai), cooked, boiled, drained, without salt","2019-04-01"
"169981","Cardoon, raw","2019-04-01"
"169982","Cardoon, cooked, boiled, drained, without salt","2019-04-01"
"169983","Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"169984","Carrots, frozen, cooked, boiled, drained, without salt","2019-04-01"
"169985","Cassava, raw","2019-04-01"
"169986","Cauliflower, raw","2019-04-01"
"169987","Celeriac, cooked, boiled, drained, without salt","2019-04-01"
"169988","Celery, raw","2019-04-01"
"169989","Celery, cooked, boiled, drained, without salt","2019-04-01"
"169990","Celtuce, raw","2019-04-01"
"169991","Chard, swiss, raw","2019-04-01"
"169992","Chicory greens, raw","2019-04-01"
"169993","Chicory roots, raw","2019-04-01"
"169994","Chives, raw","2019-04-01"
"169995","Chrysanthemum, garland, raw","2019-04-01"
"169996","Collards, frozen, chopped, cooked, boiled, drained, without salt","2019-04-01"
"169997","Coriander (cilantro) leaves, raw","2019-04-01"
"169998","Corn, sweet, yellow, raw","2019-04-01"
"169999","Corn, sweet, yellow, cooked, boiled, drained, without salt","2019-04-01"
"170000","Onions, raw","2019-04-01"
"170001","Onions, cooked, boiled, drained, without salt","2019-04-01"
"170002","Onions, dehydrated flakes","2019-04-01"
"170003","Onions, canned, solids and liquids","2019-04-01"
"170004","Onions, yellow, sauteed","2019-04-01"
"170005","Onions, spring or scallions (includes tops and bulb), raw","2019-04-01"
"170006","Onions, young green, tops only","2019-04-01"
"170007","Onions, welsh, raw","2019-04-01"
"170008","Onions, sweet, raw","2019-04-01"
"170009","Parsnips, cooked, boiled, drained, without salt","2019-04-01"
"170010","Peas, edible-podded, raw","2019-04-01"
"170011","Peas, edible-podded, boiled, drained, without salt","2019-04-01"
"170012","Peas, edible-podded, frozen, unprepared","2019-04-01"
"170013","Peas, green (includes baby and lesuer types), canned, drained solids, unprepared","2019-04-01"
"170014","Peas, green, canned, seasoned, solids and liquids","2019-04-01"
"170015","Peas, green, canned, drained solids, rinsed in tap water","2019-04-01"
"170016","Peas, green, frozen, unprepared (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"170017","Peas, green, frozen, cooked, boiled, drained, without salt","2019-04-01"
"170018","Peas and carrots, frozen, cooked, boiled, drained, without salt","2019-04-01"
"170019","Peas and onions, canned, solids and liquids","2019-04-01"
"170020","Peas and onions, frozen, unprepared","2019-04-01"
"170021","Peas and onions, frozen, cooked, boiled, drained, without salt","2019-04-01"
"170022","Peppers, sweet, green, frozen, chopped, unprepared","2019-04-01"
"170023","Peppers, sweet, green, frozen, chopped, boiled, drained, without salt","2019-04-01"
"170024","Peppers, sweet, green, sauteed","2019-04-01"
"170025","Pigeonpeas, immature seeds, raw","2019-04-01"
"170026","Potatoes, flesh and skin, raw","2019-04-01"
"170027","Potatoes, russet, flesh and skin, raw (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"170028","Potatoes, white, flesh and skin, raw","2019-04-01"
"170029","Potatoes, red, flesh and skin, raw","2019-04-01"
"170030","Potatoes, Russet, flesh and skin, baked","2019-04-01"
"170031","Potatoes, roasted, salt added in processing, frozen, unprepared","2019-04-01"
"170032","Potatoes, raw, skin","2019-04-01"
"170033","Potatoes, baked, flesh, without salt","2019-04-01"
"170034","Potatoes, baked, skin, without salt","2019-04-01"
"170035","Potatoes, microwaved, cooked in skin, skin, without salt","2019-04-01"
"170036","Potatoes, hash brown, home-prepared","2019-04-01"
"170037","Potatoes, mashed, home-prepared, whole milk and margarine added","2019-04-01"
"170038","Potatoes, scalloped, home-prepared with butter","2019-04-01"
"170039","Potatoes, mashed, dehydrated, granules without milk, dry form","2019-04-01"
"170040","Potatoes, mashed, dehydrated, prepared from granules without milk, whole milk and butter added","2019-04-01"
"170041","Potatoes, mashed, dehydrated, granules with milk, dry form","2019-04-01"
"170042","Potatoes, mashed, dehydrated, prepared from granules with milk, water and margarine added","2019-04-01"
"170043","Potatoes, hash brown, frozen, plain, unprepared","2019-04-01"
"170044","Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil","2019-04-01"
"170045","Potatoes, hash brown, frozen, with butter sauce, unprepared","2019-04-01"
"170046","Potatoes, hash brown, frozen, with butter sauce, prepared","2019-04-01"
"170047","Potato puffs, frozen, unprepared","2019-04-01"
"170048","Potato puffs, frozen, oven-heated","2019-04-01"
"170049","Potatoes, frozen, whole, cooked, boiled, drained, without salt","2019-04-01"
"170050","Tomatoes, red, ripe, cooked","2019-04-01"
"170051","Tomatoes, red, ripe, canned, packed in tomato juice","2019-04-01"
"170052","Tomatoes, red, ripe, canned, stewed","2019-04-01"
"170053","Tomatoes, red, ripe, canned, with green chilies","2019-04-01"
"170054","Tomato products, canned, sauce","2019-04-01"
"170055","Tomato products, canned, sauce, with mushrooms","2019-04-01"
"170056","Tomato products, canned, sauce, with onions","2019-04-01"
"170057","Tomato products, canned, sauce, with herbs and cheese","2019-04-01"
"170058","Turnips, cooked, boiled, drained, without salt","2019-04-01"
"170059","Turnips, frozen, unprepared","2019-04-01"
"170060","Turnips, frozen, cooked, boiled, drained, without salt","2019-04-01"
"170061","Turnip greens, raw","2019-04-01"
"170062","Turnip greens and turnips, frozen, cooked, boiled, drained, without salt","2019-04-01"
"170063","Vegetable juice cocktail, canned","2019-04-01"
"170064","Vegetables, mixed, canned, solids and liquids","2019-04-01"
"170065","Vegetables, mixed, canned, drained solids","2019-04-01"
"170066","Waterchestnuts, chinese, (matai), raw","2019-04-01"
"170067","Waterchestnuts, chinese, canned, solids and liquids","2019-04-01"
"170068","Watercress, raw","2019-04-01"
"170069","Waxgourd, (chinese preserving melon), raw","2019-04-01"
"170070","Winged bean tuber, raw","2019-04-01"
"170071","Yam, raw","2019-04-01"
"170072","Yam, cooked, boiled, drained, or baked, without salt","2019-04-01"
"170073","Yambean (jicama), raw","2019-04-01"
"170074","Yambean (jicama), cooked, boiled, drained, without salt","2019-04-01"
"170075","Chives, freeze-dried","2019-04-01"
"170076","Dock, raw","2019-04-01"
"170077","Dock, cooked, boiled, drained, without salt","2019-04-01"
"170078","Eppaw, raw","2019-04-01"
"170079","Beans, mung, mature seeds, sprouted, canned, drained solids","2019-04-01"
"170080","Peppers, jalapeno, canned, solids and liquids","2019-04-01"
"170081","Radishes, white icicle, raw","2019-04-01"
"170082","Shallots, freeze-dried","2019-04-01"
"170083","Sweet potato, canned, syrup pack, solids and liquids","2019-04-01"
"170084","Sweet potato, canned, syrup pack, drained solids","2019-04-01"
"170085","Tomato products, canned, sauce, spanish style","2019-04-01"
"170086","Beans, pinto, mature seeds, sprouted, raw","2019-04-01"
"170087","Beans, pinto, mature seeds, sprouted, cooked, boiled, drained, without salt","2019-04-01"
"170088","Sweet potato, cooked, candied, home-prepared","2019-04-01"
"170089","Tomatoes, red, ripe, cooked, stewed","2019-04-01"
"170090","Seaweed, agar, dried","2019-04-01"
"170091","Seaweed, spirulina, raw","2019-04-01"
"170092","Potato pancakes","2019-04-01"
"170093","Potatoes, baked, flesh and skin, without salt","2019-04-01"
"170094","Potatoes, microwaved, cooked in skin, flesh and skin, without salt","2019-04-01"
"170095","Radish seeds, sprouted, raw","2019-04-01"
"170096","Tomatoes, yellow, raw","2019-04-01"
"170097","Mushrooms, shiitake, cooked, with salt","2019-04-01"
"170098","Okra, cooked, boiled, drained, with salt","2019-04-01"
"170099","Okra, frozen, cooked, boiled, drained, with salt","2019-04-01"
"170100","Onions, cooked, boiled, drained, with salt","2019-04-01"
"170101","Onions, frozen, chopped, cooked, boiled, drained, with salt","2019-04-01"
"170102","Peas, green, cooked, boiled, drained, with salt","2019-04-01"
"170103","Peas, green, canned, no salt added, solids and liquids","2019-04-01"
"170104","Peas, green, canned, no salt added, drained solids","2019-04-01"
"170105","Peas, green, frozen, cooked, boiled, drained, with salt","2019-04-01"
"170106","Peppers, hot chili, red, raw","2019-04-01"
"170107","Peppers, hot chili, red, canned, excluding seeds, solids and liquids","2019-04-01"
"170108","Peppers, sweet, red, raw","2019-04-01"
"170109","Peppers, sweet, green, cooked, boiled, drained, with salt","2019-04-01"
"170110","Peppers, sweet, red, cooked, boiled, drained, without salt","2019-04-01"
"170111","Potatoes, baked, flesh and skin, with salt","2019-04-01"
"170112","Potatoes, baked, flesh, with salt","2019-04-01"
"170113","Potatoes, baked, skin only, with salt","2019-04-01"
"170114","Potatoes, boiled, cooked in skin, flesh, with salt","2019-04-01"
"170115","Potatoes, microwaved, cooked, in skin, skin with salt","2019-04-01"
"170116","Potatoes, frozen, whole, cooked, boiled, drained, with salt","2019-04-01"
"170117","Potatoes, frozen, french fried, par fried, cottage-cut, prepared, heated in oven, with salt","2019-04-01"
"170118","Potatoes, french fried, all types, salt not added in processing, frozen, oven-heated","2019-04-01"
"170119","Pumpkin, flowers, cooked, boiled, drained, with salt","2019-04-01"
"170120","Pumpkin leaves, cooked, boiled, drained, with salt","2019-04-01"
"170121","Purslane, cooked, boiled, drained, with salt","2019-04-01"
"170122","Radishes, oriental, cooked, boiled, drained, with salt","2019-04-01"
"170123","Spinach, canned, no salt added, solids and liquids","2019-04-01"
"170124","Spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt","2019-04-01"
"170125","Squash, summer, all varieties, cooked, boiled, drained, with salt","2019-04-01"
"170126","Squash, summer, crookneck and straightneck, cooked, boiled, drained, with salt","2019-04-01"
"170127","Squash, winter, all varieties, cooked, baked, with salt","2019-04-01"
"170128","Squash, winter, acorn, cooked, baked, with salt","2019-04-01"
"170129","Squash, winter, acorn, cooked, boiled, mashed, with salt","2019-04-01"
"170130","Squash, winter, butternut, cooked, baked, with salt","2019-04-01"
"170131","Succotash, (corn and limas), frozen, cooked, boiled, drained, with salt","2019-04-01"
"170132","Water convolvulus, cooked, boiled, drained, with salt","2019-04-01"
"170133","Sweet potato leaves, cooked, steamed, with salt","2019-04-01"
"170134","Sweet potato, cooked, baked in skin, flesh, with salt","2019-04-01"
"170135","Taro, shoots, cooked, with salt","2019-04-01"
"170136","Taro, tahitian, cooked, with salt","2019-04-01"
"170137","Tomatoes, red, ripe, cooked, with salt","2019-04-01"
"170138","Tomatoes, red, ripe, canned, packed in tomato juice, no salt added","2019-04-01"
"170139","Turnip greens, cooked, boiled, drained, with salt","2019-04-01"
"170140","Turnip greens, frozen, cooked, boiled, drained, with salt","2019-04-01"
"170141","Turnip greens and turnips, frozen, cooked, boiled, drained, with salt","2019-04-01"
"170142","Vegetables, mixed, frozen, cooked, boiled, drained, with salt","2019-04-01"
"170143","Mushrooms, portabella, exposed to ultraviolet light, raw","2019-04-01"
"170144","Seeds, breadfruit seeds, raw","2019-04-01"
"170145","Seeds, breadfruit seeds, boiled","2019-04-01"
"170146","Seeds, cottonseed flour, low fat (glandless)","2019-04-01"
"170147","Seeds, cottonseed meal, partially defatted (glandless)","2019-04-01"
"170148","Seeds, hemp seed, hulled","2019-04-01"
"170149","Seeds, lotus seeds, dried","2019-04-01"
"170150","Seeds, sesame seeds, whole, dried","2019-04-01"
"170151","Seeds, sesame seeds, whole, roasted and toasted","2019-04-01"
"170152","Seeds, sesame seed kernels, toasted, without salt added (decorticated)","2019-04-01"
"170153","Seeds, sesame flour, partially defatted","2019-04-01"
"170154","Seeds, sunflower seed kernels, toasted, without salt","2019-04-01"
"170155","Seeds, sunflower seed butter, without salt","2019-04-01"
"170156","Seeds, sunflower seed flour, partially defatted","2019-04-01"
"170157","Nuts, acorns, raw","2019-04-01"
"170158","Nuts, almonds, dry roasted, without salt added","2019-04-01"
"170159","Nuts, almonds, oil roasted, without salt added","2019-04-01"
"170160","Nuts, almond paste","2019-04-01"
"170161","Nuts, beechnuts, dried","2019-04-01"
"170162","Nuts, cashew nuts, raw","2019-04-01"
"170163","Nuts, cashew butter, plain, without salt added","2019-04-01"
"170164","Nuts, chestnuts, chinese, raw","2019-04-01"
"170165","Nuts, chestnuts, chinese, dried","2019-04-01"
"170166","Nuts, chestnuts, chinese, boiled and steamed","2019-04-01"
"170167","Nuts, chestnuts, european, dried, peeled","2019-04-01"
"170168","Nuts, chestnuts, european, boiled and steamed","2019-04-01"
"170169","Nuts, coconut meat, raw","2019-04-01"
"170170","Nuts, coconut meat, dried (desiccated), not sweetened","2019-04-01"
"170171","Nuts, coconut cream, canned, sweetened","2019-04-01"
"170172","Nuts, coconut milk, raw (liquid expressed from grated meat and water)","2019-04-01"
"170173","Nuts, coconut milk, canned (liquid expressed from grated meat and water)","2019-04-01"
"170174","Nuts, coconut water (liquid from coconuts)","2019-04-01"
"170175","Nuts, ginkgo nuts, dried","2019-04-01"
"170176","Nuts, ginkgo nuts, canned","2019-04-01"
"170177","Nuts, hickorynuts, dried","2019-04-01"
"170178","Nuts, macadamia nuts, raw","2019-04-01"
"170179","Nuts, macadamia nuts, dry roasted, without salt added","2019-04-01"
"170180","Nuts, formulated, wheat-based, unflavored, with salt added","2019-04-01"
"170181","Nuts, mixed nuts, dry roasted, with peanuts, salt added, CHOSEN ROASTER","2019-04-01"
"170182","Nuts, pecans","2019-04-01"
"170183","Nuts, pecans, dry roasted, without salt added","2019-04-01"
"170184","Nuts, pistachio nuts, raw","2019-04-01"
"170185","Nuts, pistachio nuts, dry roasted, without salt added","2019-04-01"
"170186","Nuts, walnuts, black, dried","2019-04-01"
"170187","Nuts, walnuts, english","2019-04-01"
"170188","Seeds, pumpkin and squash seeds, whole, roasted, without salt","2019-04-01"
"170189","Seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)","2019-04-01"
"170190","Nuts, chestnuts, european, roasted","2019-04-01"
"170191","Seeds, sesame butter, paste","2019-04-01"
"170192","Seeds, sesame flour, high-fat","2019-04-01"
"170193","Beef, variety meats and by-products, suet, raw","2019-04-01"
"170194","Beef, variety meats and by-products, thymus, raw","2019-04-01"
"170195","Beef, variety meats and by-products, thymus, cooked, braised","2019-04-01"
"170196","Beef, variety meats and by-products, tongue, raw","2019-04-01"
"170197","Beef, cured, breakfast strips, raw or unheated","2019-04-01"
"170198","Beef, cured, breakfast strips, cooked","2019-04-01"
"170199","Beef, cured, corned beef, brisket, raw","2019-04-01"
"170200","Beef, cured, corned beef, brisket, cooked","2019-04-01"
"170201","Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, choice, cooked, grilled","2019-04-01"
"170202","Beef, cured, luncheon meat, jellied","2019-04-01"
"170203","Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, select, cooked, grilled","2019-04-01"
"170204","Beef, cured, pastrami","2019-04-01"
"170205","Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, all grades, raw","2019-04-01"
"170206","Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, choice, cooked","2019-04-01"
"170207","Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, select, cooked","2019-04-01"
"170208","Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, all grades, cooked","2019-04-01"
"170209","Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, choice, cooked","2019-04-01"
"170210","Beef, brisket, flat half, separable lean only, trimmed to 0"" fat, all grades, cooked, braised","2019-04-01"
"170211","Beef, brisket, point half, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised","2019-04-01"
"170212","Beef, brisket, point half, separable lean only, trimmed to 0"" fat, all grades, cooked, braised","2019-04-01"
"170213","Beef, chuck, arm pot roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised","2019-04-01"
"170214","Beef, chuck, under blade pot roast, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, braised","2019-04-01"
"170215","Beef, chuck, blade roast, separable lean only, trimmed to 0"" fat, all grades, cooked, braised","2019-04-01"
"170216","Beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised","2019-04-01"
"170217","Beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised","2019-04-01"
"170218","Beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0"" fat, select, cooked, roasted","2019-04-01"
"170219","Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled","2019-04-01"
"170220","Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled","2019-04-01"
"170221","Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, select, cooked, broiled","2019-04-01"
"170222","Beef, round, bottom round, roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted","2019-04-01"
"170223","Beef, round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised","2019-04-01"
"170224","Beef, round, bottom round, roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted","2019-04-01"
"170225","Beef, round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, braised","2019-04-01"
"170226","Beef, round, bottom round, steak, separable lean only, trimmed to 0"" fat, select, cooked, braised","2019-04-01"
"170227","Beef, round, bottom round roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted","2019-04-01"
"170228","Beef, round, eye of round roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted","2019-04-01"
"170229","Beef, round, eye of round roast, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted","2019-04-01"
"170230","Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted","2019-04-01"
"170231","Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted","2019-04-01"
"170232","Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted","2019-04-01"
"170233","Beef, round, tip round, roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted","2019-04-01"
"170234","Beef, round, top round, separable lean and fat, trimmed to 0"" fat, select, cooked, braised","2019-04-01"
"170235","Beef, round, top round, separable lean only, trimmed to 0"" fat, choice, cooked, braised","2019-04-01"
"170236","Beef, round, top round, separable lean only, trimmed to 0"" fat, select, cooked, braised","2019-04-01"
"170237","Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled","2019-04-01"
"170238","Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled","2019-04-01"
"170239","Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled","2019-04-01"
"170240","Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled","2019-04-01"
"170241","Puddings, banana, dry mix, regular, with added oil","2019-04-01"
"170242","Puddings, lemon, dry mix, regular, with added oil, potassium, sodium","2019-04-01"
"170243","Puddings, tapioca, dry mix, with no added salt","2019-04-01"
"170244","Snacks, corn-based, extruded, puffs or twists, cheese-flavor, unenriched","2019-04-01"
"170245","Snacks, corn-based, extruded, chips, barbecue-flavor, made with enriched masa flour","2019-04-01"
"170246","Snacks, popcorn, air-popped (Unsalted)","2019-04-01"
"170247","Snacks, popcorn, oil-popped, white popcorn, salt added","2019-04-01"
